Startup_ID,Name,Sector,Sub-Sector,City,State,Founded_Year,Founder_Name,Funding_Stage,Investment_Type,Amount_Raised,Investors_Count,Lead_Investor,Co-Investors,Valuation_Post_Funding,Revenue,Profitability,Number_of_Employees,Tech_Stack,Primary_Product,Customer_Base_Size,Growth_Rate,Exit_Status,Acquisition_Details,Funding_Date,Pitch_Deck_Link,Social_Media_Followers,Competitors,Patents,ESG_Score,Diversity_Index,Net_Impact_Score
a713cd4f,Startup_0,Retail,Sub_2,Pune,Maharashtra,2022,Founder_356,Series D,Grant,6523237,9,Investor_75,Investor_566,24886076,1263794,No,326,IoT,Product_3,92170,9.66,No,,2023-07-08,http://example.com/pitchdeck/0,27648,Competitor_88,11,5.32,39.33,4.71
b75f6987,Startup_1,EdTech,Sub_2,Pune,Karnataka,2019,Founder_93,IPO,Convertible Note,5757470,7,Investor_409,Investor_543,83153668,4324863,Yes,421,AR/VR,Product_18,82497,13.93,Yes,Acquirer_185,2017-01-02,http://example.com/pitchdeck/1,89143,Competitor_66,17,2.5,43.19,5.03
d5ba7ec2,Startup_2,AgriTech,Sub_7,Chennai,Tamil Nadu,2010,Founder_951,Series A,Grant,9611115,6,Investor_360,Investor_768,86184749,2185306,No,388,Blockchain,Product_23,97421,16.17,Yes,,2022-06-20,http://example.com/pitchdeck/2,62445,Competitor_93,4,5.13,36.11,5.71
5190a643,Startup_3,HealthTech,Sub_8,Mumbai,Telangana,2007,Founder_538,IPO,Debt,8103826,6,Investor_375,Investor_534,27973070,4709714,No,166,Blockchain,Product_21,41892,9.79,Yes,,2021-01-11,http://example.com/pitchdeck/3,30184,Competitor_31,13,9.14,31.38,9.29
a6801a40,Startup_4,HealthTech,Sub_6,Bangalore,Maharashtra,2019,Founder_69,Seed,Grant,223670,1,Investor_455,Investor_902,54855828,1655812,Yes,455,IoT,Product_9,58855,45.94,No,,2015-07-22,http://example.com/pitchdeck/4,56494,Competitor_27,0,8.1,78.2,1.12
28af737a,Startup_5,TravelTech,Sub_1,Chennai,Tamil Nadu,2022,Founder_665,Series A,Grant,7020554,8,Investor_426,Investor_567,60749788,2630764,Yes,417,AR/VR,Product_9,13564,23.98,Yes,,2023-03-19,http://example.com/pitchdeck/5,47982,Competitor_60,19,5.87,75.13,8.35
e745a938,Startup_6,FoodTech,Sub_4,Bangalore,Delhi,2018,Founder_399,Seed,Debt,1117911,5,Investor_72,Investor_845,90432670,425008,No,371,Big Data,Product_25,11719,24.83,Yes,Acquirer_415,2017-02-18,http://example.com/pitchdeck/6,5660,Competitor_94,2,6.06,61.46,2.06
e15a0b56,Startup_7,TravelTech,Sub_8,Delhi,Maharashtra,2006,Founder_497,Series D,Equity,3110203,1,Investor_348,Investor_991,87168503,393062,No,111,AI,Product_24,43137,25.45,Yes,,2018-09-12,http://example.com/pitchdeck/7,95116,Competitor_90,12,8.9,74.67,3.09
7eda3996,Startup_8,Retail,Sub_2,Bangalore,Maharashtra,2008,Founder_875,Seed,Convertible Note,1859879,9,Investor_81,Investor_510,23181984,343903,No,173,Blockchain,Product_8,56872,19.09,Yes,Acquirer_847,2018-05-25,http://example.com/pitchdeck/8,90686,Competitor_59,20,9.8,44.77,6.37
34ba9cef,Startup_9,HealthTech,Sub_5,Bangalore,Tamil Nadu,2018,Founder_489,Series A,Debt,1384039,3,Investor_51,Investor_867,67588657,4104649,Yes,260,Big Data,Product_4,32591,32.96,No,,2019-12-17,http://example.com/pitchdeck/9,28830,Competitor_36,17,6.5,22.37,8.01
7f382e94,Startup_10,FoodTech,Sub_9,Pune,Delhi,2002,Founder_16,Series B,Grant,2532859,2,Investor_159,Investor_644,46024456,4890224,No,210,Cloud,Product_29,18479,20.75,Yes,,2017-10-03,http://example.com/pitchdeck/10,44632,Competitor_77,6,8.93,55.11,3.71
5e17cdff,Startup_11,TravelTech,Sub_2,Mumbai,Tamil Nadu,2005,Founder_211,Series A,Equity,3817673,5,Investor_20,Investor_626,73166274,4920443,Yes,310,Blockchain,Product_7,33129,36.7,No,,2023-11-21,http://example.com/pitchdeck/11,55839,Competitor_27,13,8.23,78.79,3.75
e3d4cda4,Startup_12,FinTech,Sub_5,Mumbai,Telangana,2016,Founder_928,Series A,Debt,5964632,7,Investor_70,Investor_638,12508793,2088428,Yes,347,Cloud,Product_39,16300,39.66,Yes,,2019-03-13,http://example.com/pitchdeck/12,58064,Competitor_40,3,8.49,46.45,6.02
d4691caf,Startup_13,HealthTech,Sub_3,Chennai,Tamil Nadu,2009,Founder_496,Series D,Equity,3531134,8,Investor_500,Investor_535,14166093,2197578,Yes,490,Cloud,Product_38,56119,25.44,No,,2018-11-22,http://example.com/pitchdeck/13,40461,Competitor_14,12,6.91,65.1,3.99
